id,question,content,source,training_data_type
07c1145e-ae88-5518-8761-afc96a527cce-sql,Quais os aspectos mais elogiados do modelo SENNA?,"SELECT item.extracted_aspect, COUNT(*) AS count
FROM datalake_qa.gpt.gpt LATERAL VIEW explode(absa) absa_flat AS item
WHERE item.sentiment = 'POSITIVO'
GROUP BY item.extracted_aspect
ORDER BY count DESC
LIMIT 5;",nps,sql
0b34e7da-9213-51c8-b11c-46ed0d9c9957-sql,Os clientes que planejam comprar outro computador nos próximos meses têm pontuações NPS ou CSAT diferentes dos que não planejam?,"SELECT
    plan_to_buy_another_computer_in_next_months,
    try_divide((COUNT(CASE WHEN nps_category = 'PROMOTOR' THEN 1 END) * 100.0 - COUNT(CASE WHEN nps_category = 'DETRATOR' THEN 1 END) * 100.0 ), COUNT(*)) AS nps_score,
    try_divide(COUNT(CASE WHEN csat IN (4, 5) THEN 1 END), COUNT(CASE WHEN csat != 0 THEN 1 END)) AS csat_score
FROM
    datalake_qa.gpt.gpt
GROUP BY
    plan_to_buy_another_computer_in_next_months;",nps,sql
0f013c0d-6c50-57ed-8298-ce303a3b418d-sql,Qual o notebook da Vaio com melhor nota de csat em janeiro de 22?,"SELECT
    computer_model,
    try_divide(COUNT(CASE WHEN csat IN (4, 5) THEN 1 END), COUNT(*)) AS csat_score
FROM
    datalake_qa.gpt.gpt
WHERE month=1 and year=2022 and brand='vaio' AND csat IS NOT NULL AND csat != 0
GROUP BY
    computer_model
HAVING
    csat_score IS NOT NULL
ORDER BY
    csat_score DESC
LIMIT 1;",nps,sql
16cdce3e-dd40-514d-8995-c16b965030b8-sql,Quais os pontos mais elogiados do modelo SENNA?,"SELECT item.extracted_aspect AS extracted_aspect, count(*) AS reviews
FROM datalake_qa.gpt.gpt
LATERAL VIEW explode(absa) absa_flat AS item
WHERE computer_model = 'SENNA' AND item.sentiment = 'POSITIVO'
AND item.extracted_aspect IS NOT NULL
GROUP BY item.extracted_aspect
ORDER BY reviews DESC
LIMIT 5;",nps,sql
16ff7238-2d0c-54e1-9cc8-1086d24a2be9-sql,Qual o nível de satisfação do consumidor no notebook C4128E-S?,"SELECT
try_divide(COUNT(CASE WHEN csat IN (4, 5) THEN 1 END), COUNT(*)) AS csat_score
 FROM datalake_qa.gpt.gpt
WHERE
    computer_model = 'C4128E-S' AND csat IS NOT NULL AND csat != 0;",nps,sql
1a26d6dc-adfd-5dcb-845a-6fccf6e8fb27-sql,Existe alguma correlação entre a profissão do usuário e o modelo de computador escolhido?,"SELECT
    profession,
    computer_model,
    COUNT(*) AS reviews
FROM
    datalake_qa.gpt.gpt
WHERE profession!= 'não definido'
GROUP BY
    profession,
    computer_model
ORDER BY
    reviews DESC;",nps,sql
1b7526a2-f51d-559b-ac9c-a8ec93f343b8-sql,mostre 5 comentarios negativos do modelo SENNA e seu respectivo aspecto,"SELECT gpt.corrected_text, item.extracted_aspect
FROM datalake_qa.gpt.gpt
LATERAL VIEW explode(absa) absa_flat AS item
WHERE computer_model = 'SENNA'
AND item.sentiment = 'NEGATIVO'
LIMIT 5;",nps,sql
1bee60d0-c71a-5e23-ba24-2c664a1bb6a2-sql,Quais os 5 principais aspectos positivos dos notebooks?,"SELECT item.extracted_aspect AS extracted_aspect, count(*) AS reviews
FROM datalake_qa.gpt.gpt
LATERAL VIEW explode(absa) absa_flat AS item
WHERE item.sentiment = 'POSITIVO'
AND item.extracted_aspect IS NOT NULL
GROUP BY item.extracted_aspect
ORDER BY reviews DESC
LIMIT 5;",nps,sql
1ff2a969-1c0f-557f-a152-35a92c9d89c5-sql,Qual é o CSAT do modelo Q464C considerando a tela?,"SELECT computer_model,
    try_divide(COUNT(CASE WHEN csat IN (4, 5) THEN 1 END), COUNT(*)) AS csat_score

FROM datalake_qa.gpt.gpt
LATERAL VIEW explode(absa) absa_flat AS item
WHERE computer_model = 'Q464C' AND csat IS NOT NULL AND csat != 0
AND item.extracted_aspect IN ('TELA')
GROUP BY computer_model
LIMIT 5;",nps,sql
2607d26d-5963-583f-9a50-076eb03c6376-sql,Analise o notebook C464AP,"SELECT COUNT(*) as quantidade_reviews,
try_divide(COUNT(CASE WHEN csat IN (4, 5) THEN 1 END), COUNT(CASE WHEN csat != 0 THEN 1 END)) AS csat_score,
try_divide((COUNT(CASE WHEN nps_category = 'PROMOTOR' THEN 1 END) * 100.0 - COUNT(CASE WHEN nps_category = 'DETRATOR' THEN 1 END) * 100.0 ), COUNT(*)) AS nps_score
FROM datalake_qa.gpt.gpt
WHERE computer_model = 'C464AP';",nps,sql
